created_at,screen_name,text,favorite_count,retweet_count,hashtags,linked_url
2020-04-06T14:32:34Z,ReutersAfrica,kenyan president halts movement in areas affected by the coronavirus https://t.co/spzyjeg24g,10,8,NA,https://af.reuters.com/article/topNews/idAFKBN21O1MT-OZATP
2020-04-06T14:15:41Z,ReutersAfrica,"nigeria has requested a total of $6.9 billion from the international monetary fund (imf), world bank and african development bank (afdb) to combat the impact of the novel coronavirus pandemic, says finance minister https://t.co/aoowpkm2gz https://t.co/eyp08d6maf",0,7,NA,NA
2020-04-06T14:11:34Z,ReutersAfrica,"south africa’s central bank slashed its growth forecasts on monday, predicting the economy could shrink by as much as 4% in 2020 due to the novel coronavirus that has forced a national lockdown and triggered two credit ratings downgrades.   https://t.co/phubwwfwng",9,12,NA,https://af.reuters.com/article/investingNews/idAFKBN21O1EP-OZABS
2020-04-06T12:31:57Z,ReutersAfrica,south africa's central bank sees up to -4% gdp over coronavirus fallout https://t.co/ps8qjhvmbn,9,14,NA,https://af.reuters.com/article/africaTech/idAFKBN21O1EP-OZABS
2020-04-06T10:19:24Z,ReutersAfrica,coronavirus prompts congo to cut 2020 growth forecast to 1.1% https://t.co/wznug5qlw8,16,12,NA,https://af.reuters.com/article/africaTech/idAFKBN21O0P4-OZABS
2020-04-06T09:51:02Z,ReutersAfrica,libyan revolution premier jibril dies from coronavirus https://t.co/spuwimscl9,28,25,NA,https://af.reuters.com/article/africaTech/idAFKBN21O0RB-OZATP
2020-04-06T08:11:22Z,ReutersAfrica,south africa's arms firm denel to produce ventilators in coronavirus fight https://t.co/r7hkmjnxoa,34,29,NA,https://af.reuters.com/article/africaTech/idAFKBN21N0HA-OZABS
2020-04-06T08:09:26Z,ReutersAfrica,zimbabwe turns water cannon on coronavirus https://t.co/yikpxs5vyy,8,12,NA,https://af.reuters.com/article/africaTech/idAFKBN21L24D-OZATP
2020-04-05T15:24:01Z,ReutersAfrica,"about 20 million jobs are at risk in africa as the continent’s economies are projected to shrink this year due to the impact of the coronavirus pandemic, according an african union (au) study. @joebavier and @giuliaparavicin report. https://t.co/chwqrxothj https://t.co/p4cpigmcp0",15,18,NA,https://af.reuters.com/article/investingNews/idAFKBN21N0LM-OZABS
2020-04-05T15:14:14Z,ReutersAfrica,ethiopia reports its first death of a covid-19 patient @reuters,0,10,NA,NA
2020-04-05T14:53:45Z,ReutersAfrica,"south sudan has confirmed its first case of covid-19, its vice president said on sunday, becoming the latest african nation to report a case of the disease caused by the new coronavirus. https://t.co/ih3e3ynh3z",11,4,NA,NA
2020-04-05T14:53:44Z,ReutersAfrica,south sudan confirms first case of coronavirus. https://t.co/jayi3ftynm https://t.co/1xgnz6aw5u,19,14,NA,https://af.reuters.com/article/topNews/idAFKBN21N0BY-OZATP
2020-04-05T14:32:10Z,ReutersAfrica,"south africa’s denel will design and develop medical ventilators in partnership with other state-owned entities, research bodies and medical technology companies to help treat coronavirus patients, the state arms and technology company said on sunday. https://t.co/og2urdsr93 https://t.co/iuscuxtart",58,54,NA,https://af.reuters.com/article/investingNews/idAFKBN21N0HA-OZABS
2020-04-05T13:32:32Z,ReutersAfrica,"malawi’s president and cabinet will take a 10% salary cut and redirect the money towards the fight against coronavirus, president peter mutharika said on saturday as he announced a stimulus package in an address on state television. https://t.co/sp84u4uffz https://t.co/spyjwgsagt",32,22,NA,https://af.reuters.com/article/topNews/idAFKBN21N087-OZATP
2020-04-05T13:28:33Z,ReutersAfrica,"the south african arm of british american tobacco urged the government on saturday to reconsider its ban on cigarette sales during the nationwide coronavirus lockdown, saying it would have unintended consequences. @nqobile_d reports. https://t.co/4enlmp3siq",17,17,NA,NA
2020-04-05T13:26:27Z,ReutersAfrica,"factbox-latest on the spread of the coronavirus around the world
https://t.co/efbxybcnsx https://t.co/u5vhrcwyoa",7,3,NA,https://af.reuters.com/article/topNews/idAFKBN21N0DX-OZATP
2020-04-05T10:18:25Z,ReutersAfrica,"south sudan has confirmed its first case of covid-19, its vice president said on sunday, becoming the latest african nation to report a case of the disease caused by the new coronavirus. @denisdumo  reports. https://t.co/jayi3ftynm https://t.co/nanbdkdypr",44,33,NA,https://af.reuters.com/article/topNews/idAFKBN21N0BY-OZATP
2020-04-05T09:47:22Z,ReutersAfrica,"algeria will extend curfews it has put in place to limit the spread of the coronavirus from sunday, the prime minister said on saturday, as the number of confirmed cases rose to 1,251. https://t.co/ygyifokxlm https://t.co/rrtg9tzos6",12,4,NA,https://af.reuters.com/article/topNews/idAFKBN21N08L-OZATP
