news_url,Twitter Handle
http://www.aps.dz/en/,EnglishAps
https://ethiopiangazette.com/,EthioGazette
http://theheraldghana.com/,theheraldghana
https://www.todaygh.com/,TodayGHA
http://www.mauritiustimes.com/,mauritiustimes
https://www.ippmedia.com/en/the-guardian,Nipashetz
https://www.ippmedia.com/en/the-guardian-on-sunday,Nipashetz
NA,Mbuhari
NA,AlsisiOfficial
NA,Jnkengasong
NA,MagufuliJP
NA,"
MinofHealthUG"
NA,OxfamDRC
NA,BurkinaFasoNew1
NA,UNHCR_CAR
NA,RAM_Maroc
NA,KenyaAirways
