"topic_1","topic_2","topic_3","topic_4","topic_5","topic_6","topic_7","topic_8","topic_9","topic_10"
0.02,0.00666666666666667,0,0.153333333333333,0,0,0.6,0.0666666666666667,0.02,0.133333333333333
0,0.0941176470588235,0.0647058823529412,0.164705882352941,0,0,0.135294117647059,0.0823529411764706,0.458823529411765,0
0.005,0,0.135,0.01,0,0.01,0.805,0.005,0.03,0
0.0470588235294118,0,0,0,0.358823529411765,0,0,0.158823529411765,0.429411764705882,0.00588235294117647
0,0,0,0.0666666666666667,0.0166666666666667,0.0416666666666667,0.75,0.125,0,0
0,0.0444444444444444,0.4,0,0.377777777777778,0,0,0.155555555555556,0.0222222222222222,0
0,0.02,0.153333333333333,0.666666666666667,0,0,0.16,0,0,0
0,0,0.38,0.005,0.185,0,0.05,0.38,0,0
0,0.309090909090909,0,0,0,0.636363636363636,0.0545454545454545,0,0,0
0,0.51,0,0,0.02,0.01,0.46,0,0,0
0,0.866666666666667,0,0,0.0333333333333333,0,0.0111111111111111,0,0,0.0888888888888889
0,0.0933333333333333,0.346666666666667,0.1,0.00666666666666667,0,0.433333333333333,0,0,0.02
0.79,0,0.19,0,0,0.01,0.01,0,0,0
0.975,0.0125,0,0,0,0,0,0,0.0125,0
0.809090909090909,0,0.00909090909090909,0,0,0.00909090909090909,0,0,0,0.172727272727273
0,0.433333333333333,0,0,0,0.566666666666667,0,0,0,0
0,0,0.00588235294117647,0.0411764705882353,0.0235294117647059,0,0.794117647058823,0,0,0.135294117647059
0,0,0.38,0.01,0.48,0,0,0.01,0.12,0
0,0.0130434782608696,0.0434782608695652,0.0782608695652174,0,0.234782608695652,0.543478260869565,0.0869565217391304,0,0
0.0130434782608696,0,0.173913043478261,0,0,0.191304347826087,0,0,0,0.621739130434783
0,0,0,0.576923076923077,0,0,0,0,0.423076923076923,0
0,0,0.285714285714286,0,0,0,0.521428571428571,0.0285714285714286,0.164285714285714,0
0,0,0,0.193333333333333,0,0.0266666666666667,0,0.16,0,0.62
0,0.00952380952380952,0.0571428571428571,0.147619047619048,0.0285714285714286,0,0.242857142857143,0.0571428571428571,0.457142857142857,0
0.272727272727273,0,0.472727272727273,0.0363636363636364,0.05,0,0.163636363636364,0.00454545454545455,0,0
0.258333333333333,0.166666666666667,0,0,0,0,0,0.575,0,0
0,0,0.23,0,0,0.65,0,0.01,0.07,0.04
0.0454545454545455,0,0.354545454545455,0,0.518181818181818,0,0,0.0181818181818182,0.0272727272727273,0.0363636363636364
0,0,0,0,0.01,0.01,0.77,0.01,0.18,0.02
0,0,0.1,0.0333333333333333,0,0,0.4,0.0166666666666667,0.416666666666667,0.0333333333333333
0.00666666666666667,0,0.4,0,0,0,0.186666666666667,0.00666666666666667,0.4,0
0,0,0,0,0,0,0.00833333333333333,0,0,0.991666666666667
0.02,0,0.03,0.24,0.26,0,0.41,0.04,0,0
0,0.00588235294117647,0.00588235294117647,0.235294117647059,0,0,0.611764705882353,0.0705882352941176,0.0705882352941176,0
0,0.00434782608695652,0.00434782608695652,0.334782608695652,0.00434782608695652,0,0.530434782608696,0.117391304347826,0.00434782608695652,0
0,0,0.00833333333333333,0,0,0,0.00833333333333333,0,0.55,0.433333333333333
0.0875,0.0416666666666667,0.0208333333333333,0,0,0.05,0.8,0,0,0
0.0125,0,0,0,0.35,0,0,0,0.625,0.0125
0,0,0,0,0,0,1,0,0,0
0.983333333333333,0,0,0,0.0166666666666667,0,0,0,0,0
0,0,0,0,0,0.123076923076923,0.823076923076923,0.0230769230769231,0.0307692307692308,0
0.01,0.06,0.04,0.48,0,0,0,0.02,0.01,0.38
0.228571428571429,0.128571428571429,0,0,0.185714285714286,0,0.371428571428571,0,0.00714285714285714,0.0785714285714286
0.483333333333333,0,0,0,0.00555555555555556,0,0.188888888888889,0.0555555555555556,0.266666666666667,0
0.2,0,0.409090909090909,0,0.172727272727273,0,0.0181818181818182,0,0.2,0
